Timestamp,Your name?,What is the name of your event?,Where will your mapping party be held?,Please insert a link to your venue on openstreetmap.org,Please insert a link where people can sign up,What date is your event taking place? (as YYYY-MM-DD),What time does your event start?,What time does your event end?,Country?,Is this is part of OSM GeoWeek 2020? (Nov 15-21),lat,long
uniqueID-47,,Missing Maps London,"UCL, London, United Kingdom",https://www.openstreetmap.org/way/50059492#map=19/51.52400/-0.13399,https://www.eventbrite.co.uk/e/missing-maps-march-mapathon-tickets-93299271633,2020-03-03,18:00,21:00,[gb],,51.524,-0.13399
uniqueID-48,,HOT Training Webinar: JOSM for beginners,"Zoom, WorldWide",https://zoom.us/webinar/register/WN_1qNAh-iJT7uHUfJCCpxg4Q,https://zoom.us/webinar/register/WN_1qNAh-iJT7uHUfJCCpxg4Q,2020-02-29,10:00,11:00,[us],,,
uniqueID-49,,Missing Maps Windhoek,"Land Management Building, Windhoek, Namibia",https://www.openstreetmap.org/search?query=Namibia%20University%20of%20science%20and%20Technology%20land%20management%20building#map=19/-22.56611/17.07749,https://docs.google.com/forms/d/e/1FAIpQLSeQQgco0PSRpufAOQ2cWgSzEK2Ilbx7Va65pu48XYgQd20bPw/viewform?usp=pp_url,2020-02-28,14:00,20:00,[na],,-22.56611,17.07749
uniqueID-50,,Únorový brněnský Missing maps mapathon na Geografickém ústavu,"Department of Geography, Faculty of Science, Masaryk University, Brno, Czech Republic",https://www.openstreetmap.org/way/84965582,https://www.eventbrite.co.uk/e/brnensky-unorovy-missing-maps-mapathon-tickets-94062512507,2020-02-27,18:00,21:00,[cz],,49.20417,16.59799
uniqueID-51,,Karneval Mapathon,"Geozentrum Bonn , Bonn, Germany",https://www.openstreetmap.org/way/50171999,https://www.facebook.com/events/977130949336335/,2020-02-26,17:00,19:00,[de],,50.72477,7.09012
uniqueID-52,,Humanitarian Mapping Party,"Carolyn and Kem Gardner Commons, Rm 3399, Salt Lake City, United States",https://www.openstreetmap.org/way/503489218,https://forms.gle/tQTnqxUpusti73qA6,2020-02-26,15:00,17:00,[us],,40.76346,-111.84471
uniqueID-53,,Missing Maps Zürich February Mapathon,"Schweizerisches Rotes Kreuz, Zürich, Switzerland",https://www.openstreetmap.org/way/39425222,https://www.meetup.com/de-DE/Missing-Maps-Zurich/,2020-02-26,19:00,21:00,[ch],,47.38646,8.53587
uniqueID-54,,Únorový Missing Maps mapathon v Praze - v kanceláři KPMG,"KPMG Czech Republic, Praha, Czech Republic",https://osm.org/go/0J0ldIDxk?node=2757558289,https://www.eventbrite.co.uk/e/unorovy-missing-maps-mapathon-v-praze-v-kancelari-kpmg-tickets-94105902287?ref=enivtefor001&invite=MTkwOTM3MjEva2F0ZXJpbmEucGFuY3pha292YUBnbWFpbC5jb20vMA%3D%3D%0A&utm_source=eb_email&utm_medium=email&utm_campaign=inviteformalv2&utm_term=attend,2020-02-25,18:00,21:00,[cz],,50.09230524,14.43904996
uniqueID-55,,Map For Future,"Coworking Millepiani , Coworking Millepiani , Italy",https://www.openstreetmap.org/way/404195369,https://www.romaltruista.it/detail_volunteer_opportunities/34725,2020-02-21,18:00,20:00,[it],,41.86173,12.48665
uniqueID-56,,Mapathon v Jevíčku,"Gymnázium Jevíčko, A. K. Vitáka 452, 569 43 Jevíčko, Czech Republic, Jevíčko, Czech Republic",https://www.openstreetmap.org/search?query=jev%C3%AD%C4%8Dko#map=19/49.63110/16.70774,https://www.facebook.com/events/192637918789009/,2020-02-20,16:00,18:00,[cz],,49.6471,16.6873
